File,Sample,actin,tuba,tubb,efact,pst130_p495001
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0305.1,2180.0,1165.5,470.24875,98.1598,73.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,15_0306.1,1807.0,826.5,435.75,84.5,92.0
merged_Cantu_exp_PST_104E_count_0.tsv,SRR621436,1653.0,40.5,488.4995,638.0,5697.44
merged_Cantu_exp_PST_104E_count_0.tsv,SRR621435,6174.0,482.0,2151.8915,1317.5,25855.9
merged_Cantu_exp_PST_104E_count_0.tsv,SRR619850,7333.0,2240.0,2874.5,542.183,299.674
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043979,18763.0,5683.5,2284.75,328.5,2.0
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043978,18307.0,6441.0,2433.75,285.5,0.5
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043977,1936.0,261.0,502.9995,411.0,4773.24
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043976,2167.5,371.5,577.6311,545.0,5130.32
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043975,15036.0,8842.5,3567.5,1544.5,10.0
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043974,6097.5,531.0,1658.6435000000001,1168.5,12891.2
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043973,16411.5,10006.5,3742.2434999999996,1533.5,6.0
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043972,12847.0,8825.0,3366.5609999999997,1305.5,8.25
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043971,15862.0,5586.0,2147.0,347.5,0.5
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043970,2681.0,1093.5,619.5,214.0,127.368
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043969,15571.5,12189.5,5476.297500000001,1535.5,656.183
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043968,5726.5,2872.5,1224.25,201.0,99.4737
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043967,2601.5,993.0,571.5,204.0,119.71
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043966,8965.5,2773.0,2535.7834999999995,665.5,346.781
merged_Schwessinger_exp_PST_104E_count_0.tsv,SRR6043965,30753.5,21051.5,12063.73,3000.05,870.479
merged_Adams_exp_PST_104E_count_0.tsv,16_0087,3755.5,1928.0,641.4995,113.0,461.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0088,7988.0,4578.5,1936.5,267.0,279.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0089,3661.0,1619.0,875.9987500000001,108.0,295.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0090,11212.0,5401.0,2863.75,462.5,557.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0148,9141.5,4299.5,2864.0005,474.0,855.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0149,8682.5,4387.5,2493.5,546.0,110.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0150,6564.5,4367.0,1733.7495000000001,282.5,122.396
merged_Adams_exp_PST_104E_count_0.tsv,16_0151,8953.0,4397.0,1935.1585,286.0,447.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0152,5646.5,2290.5,1123.2495000000001,248.0,385.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0153,10607.0,5355.0,2522.75125,394.0,63.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0154,8497.5,5225.0,1615.2495,312.0,99.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0155,9767.5,4622.0,2400.75,509.5,115.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0156,12780.0,7884.5,2712.9194999999995,358.5,87.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0157,4671.0,2661.0,1025.49875,187.5,986.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0158,4002.5,2756.5,523.5236,126.5,151.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0159,6796.0,2882.0,1144.25075,183.5,23.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0160,10455.5,5089.0,2964.1454999999996,602.5,816.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0340,733.5,153.5,53.25005,17.5,1.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0588,131.5,2.5,2.7499892775,1.0,0.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0589,5713.5,3910.0,1264.001,142.5,462.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0595,5331.0,2727.0,1237.586,144.0,68.0
merged_Adams_exp_PST_104E_count_0.tsv,16_0596,2053.0,1918.5,382.2505,54.5,256.0
