secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector	Mean_Coverage	Selected
Bueno-Sancho et al., 2017	14.0015	14_0015	2014/06/04	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Expert	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Expert	Infected Leaf	Unknown	Yellow Rust	Guégon	France	Unknown	Unknown	raw_reads/14_0015/R1.fq.gz	raw_reads/14_0015/R2.fq.gz	Grellier	78.93110446817838	Yes
Bueno-Sancho et al., 2017	14.0016	14_0016	2014/06/04	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Alixan	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Alixan	Infected Leaf	Unknown	Yellow Rust	Loyat	France	Unknown	Unknown	raw_reads/14_0016/R1.fq.gz	raw_reads/14_0016/R2.fq.gz	Grellier	128.47630445368836	Yes
Bueno-Sancho et al., 2017	14.0017	14_0017	2014/02/21	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Victo	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Victo	Infected Leaf	Unknown	Yellow Rust	Sutton Scotney	UK	Unknown	Unknown	raw_reads/14_0017/R1.fq.gz	raw_reads/14_0017/R2.fq.gz	Amelia Hubbard	257.6093434185214	Yes
Bueno-Sancho et al., 2017	14.0018	14_0018	2014/02/21	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Oakley	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Oakley	Infected Leaf	Unknown	Yellow Rust	Sutton Scotney	UK	Unknown	Unknown	raw_reads/14_0018/R1.fq.gz	raw_reads/14_0018/R2.fq.gz	Amelia Hubbard	91.52898837848421	Yes
Bueno-Sancho et al., 2017	14.0019	14_0019	2014/03/07	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Panorama	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Panorama	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/14_0019/R1.fq.gz	raw_reads/14_0019/R2.fq.gz	Amelia Hubbard	62.30559616849725	Yes
Bueno-Sancho et al., 2017	14.0020	14_0020	2014/03/07	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	KWS Target	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	KWS Target	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/14_0020/R1.fq.gz	raw_reads/14_0020/R2.fq.gz	Amelia Hubbard	106.15867782067014	Yes
Bueno-Sancho et al., 2017	14.0021	14_0021	2014/03/18	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/14_0021/R1.fq.gz	raw_reads/14_0021/R2.fq.gz	Amelia Hubbard	343.6518522532565	Yes
Bueno-Sancho et al., 2017	14.0023	14_0023	2014	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Cocoon	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Cocoon	Infected Leaf	Unknown	Yellow Rust	UK	UK	Unknown	Unknown	raw_reads/14_0023/R1.fq.gz	raw_reads/14_0023/R2.fq.gz	Amelia Hubbard	46.77351853120055	Yes
Bueno-Sancho et al., 2017	14.0024	14_0024	2014/06/05	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Kobra	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Kobra	Infected Leaf	Unknown	Yellow Rust	Gurcz	Poland	Unknown	Unknown	raw_reads/14_0024/R1.fq.gz	raw_reads/14_0024/R2.fq.gz	Marcin Lanski	113.4823944352857	Yes
Bueno-Sancho et al., 2017	14.0025	14_0025	2014/06/05	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Arkadia	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Arkadia	Infected Leaf	Unknown	Yellow Rust	Gurcz	Poland	Unknown	Unknown	raw_reads/14_0025/R1.fq.gz	raw_reads/14_0025/R2.fq.gz	Marcin Lanski	128.25130798809943	Yes
Bueno-Sancho et al., 2017	14.0026	14_0026	2014/06/06	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Legenda	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Legenda	Infected Leaf	Unknown	Yellow Rust	Jarosławiec	Poland	Unknown	Unknown	raw_reads/14_0026/R1.fq.gz	raw_reads/14_0026/R2.fq.gz	Szymon Łączny	185.72875304644165	Yes
Bueno-Sancho et al., 2017	14.0027	14_0027	2014/06/06	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Princeps	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Princeps	Infected Leaf	Unknown	Yellow Rust	Jarosławiec	Poland	Unknown	Unknown	raw_reads/14_0027/R1.fq.gz	raw_reads/14_0027/R2.fq.gz	Szymon Łączny	347.351568381103	Yes
Bueno-Sancho et al., 2017	14.0029	14_0029	2014/05/16	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	Kulumsa	Ethiopia	Unknown	Unknown	raw_reads/14_0029/R1.fq.gz	raw_reads/14_0029/R2.fq.gz	David Hodson	287.18519864619344	Yes
Bueno-Sancho et al., 2017	14.0030	14_0030	2014/05/16	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	Kulumsa	Ethiopia	Unknown	Unknown	raw_reads/14_0030/R1.fq.gz	raw_reads/14_0030/R2.fq.gz	David Hodson	269.0378457691684	Yes
Bueno-Sancho et al., 2017	14.0035	14_0035	2014/06/10	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Akteur	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Akteur	Infected Leaf	Unknown	Yellow Rust	Moselsürsch	Germany	Unknown	Unknown	raw_reads/14_0035/R1.fq.gz	raw_reads/14_0035/R2.fq.gz	Jochen Prochnow	83.51525528965949	Yes
Bueno-Sancho et al., 2017	14.0036	14_0036	2014/06/13	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	JB Asano	Infected Leaf	Unknown	Yellow Rust	Etzdorf	Germany	Unknown	Unknown	raw_reads/14_0036/R1.fq.gz	raw_reads/14_0036/R2.fq.gz	Jochen Prochnow	41.72484893327851	Yes
Bueno-Sancho et al., 2017	14.0037	14_0037	2014/06/13	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Kometus	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Kometus	Infected Leaf	Unknown	Yellow Rust	Etzdorf	Germany	Unknown	Unknown	raw_reads/14_0037/R1.fq.gz	raw_reads/14_0037/R2.fq.gz	Jochen Prochnow	232.7529498128798	Yes
Bueno-Sancho et al., 2017	14.0039	14_0039	2014/06/16	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Opal	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Opal	Infected Leaf	Unknown	Yellow Rust	Hingste	Germany	Unknown	Unknown	raw_reads/14_0039/R1.fq.gz	raw_reads/14_0039/R2.fq.gz	Jochen Prochnow	23.54709183699088	Yes
Bueno-Sancho et al., 2017	14.0040	14_0040	2014/06/16	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Akteur	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Akteur	Infected Leaf	Unknown	Yellow Rust	Hingste	Germany	Unknown	Unknown	raw_reads/14_0040/R1.fq.gz	raw_reads/14_0040/R2.fq.gz	Jochen Prochnow	36.81556466568095	Yes
Bueno-Sancho et al., 2017	14.0041	14_0041	2014/06/16	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Contur	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Contur	Infected Leaf	Unknown	Yellow Rust	Hingste	Germany	Unknown	Unknown	raw_reads/14_0041/R1.fq.gz	raw_reads/14_0041/R2.fq.gz	Jochen Prochnow	312.19102134517794	Yes
Bueno-Sancho et al., 2017	14.0042	14_0042	2014/06/17	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	KWS Loft	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Dunau	Germany	Unknown	Unknown	raw_reads/14_0042/R1.fq.gz	raw_reads/14_0042/R2.fq.gz	Jochen Prochnow	87.09061324153987	Yes
Bueno-Sancho et al., 2017	14.0043	14_0043	2014/06/23	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	JB Asano	Infected Leaf	Unknown	Yellow Rust	Grucking	Germany	Unknown	Unknown	raw_reads/14_0043/R1.fq.gz	raw_reads/14_0043/R2.fq.gz	Jochen Prochnow	168.12723734271987	Yes
Bueno-Sancho et al., 2017	14.0044	14_0044	2014/06/23	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Akteur	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Akteur	Infected Leaf	Unknown	Yellow Rust	Kirchmatting	Germany	Unknown	Unknown	raw_reads/14_0044/R1.fq.gz	raw_reads/14_0044/R2.fq.gz	Jochen Prochnow	14.848490195653667	No
Bueno-Sancho et al., 2017	14.0046	14_0046	2014/06/25	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Hysun	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Hysun	Infected Leaf	Unknown	Yellow Rust	La Corbillière	France	Unknown	Unknown	raw_reads/14_0046/R1.fq.gz	raw_reads/14_0046/R2.fq.gz	Hamon	358.35571860065664	Yes
Bueno-Sancho et al., 2017	14.0047	14_0047	2014/06/25	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Karur	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Karur	Infected Leaf	Unknown	Yellow Rust	La Corbillière	France	Unknown	Unknown	raw_reads/14_0047/R1.fq.gz	raw_reads/14_0047/R2.fq.gz	Hamon	208.30248885947455	Yes
Bueno-Sancho et al., 2017	14.0059	14_0059	2014/06/19	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Perenial Grass	Unknown	Infected Leaf	Grain Filling	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Grain Filling	Yellow Rust	Olomouc	Czechia	Unknown	Unknown	raw_reads/14_0059/R1.fq.gz	raw_reads/14_0059/R2.fq.gz	Ruth Bryant	63.887000596480824	Yes
Bueno-Sancho et al., 2017	14.0060	14_0060	2014/06/19	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Unknown	Infected Leaf	Grain Filling	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Grain Filling	Yellow Rust	Olomouc	Czechia	Unknown	Unknown	raw_reads/14_0060/R1.fq.gz	raw_reads/14_0060/R2.fq.gz	Ruth Bryant	202.70232362727236	Yes
Bueno-Sancho et al., 2017	14.0061	14_0061	2014/06/19	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Unknown	Infected Leaf	Grain Filling	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Grain Filling	Yellow Rust	Olomouc	Czechia	Unknown	Unknown	raw_reads/14_0061/R1.fq.gz	raw_reads/14_0061/R2.fq.gz	Ruth Bryant	190.84595146542557	Yes
Bueno-Sancho et al., 2017	14.0062	14_0062	2014/06/23	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticale	Unknown	Infected Leaf	Grain Filling	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Grain Filling	Yellow Rust	Druelle	France	Unknown	Unknown	raw_reads/14_0062/R1.fq.gz	raw_reads/14_0062/R2.fq.gz	Ruth Bryant	29.28820628837169	Yes
Bueno-Sancho et al., 2017	14.0069	14_0069	2014/06/11	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Enola	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Enola	Infected Leaf	Unknown	Yellow Rust	Novi Han	Bulgaria	Unknown	Unknown	raw_reads/14_0069/R1.fq.gz	raw_reads/14_0069/R2.fq.gz	Todor Manslov	322.18667158095485	Yes
Bueno-Sancho et al., 2017	14.0072	14_0072	2014/07/03	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Trigo CAMARGO	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Trigo CAMARGO	Infected Leaf	Unknown	Yellow Rust	Garínoain	Spain	Unknown	Unknown	raw_reads/14_0072/R1.fq.gz	raw_reads/14_0072/R2.fq.gz	Pedro Liberol	60.66835539307345	Yes
Bueno-Sancho et al., 2017	14.0076	14_0076	2014/05/21	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Massari	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Massari	Infected Leaf	Unknown	Yellow Rust	Ozzano	Italy	Unknown	Unknown	raw_reads/14_0076/R1.fq.gz	raw_reads/14_0076/R2.fq.gz	A. Resweber	314.1222262298446	Yes
Bueno-Sancho et al., 2017	14.0077	14_0077	2014/05/21	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Irenerio	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Irenerio	Infected Leaf	Unknown	Yellow Rust	Conselice	Italy	Unknown	Unknown	raw_reads/14_0077/R1.fq.gz	raw_reads/14_0077/R2.fq.gz	A. Resweber	280.5049120085449	Yes
Bueno-Sancho et al., 2017	14.0078	14_0078	2014/06/04	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Victo	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Victo	Infected Leaf	Unknown	Yellow Rust	Ruchheim	Germany	Unknown	Unknown	raw_reads/14_0078/R1.fq.gz	raw_reads/14_0078/R2.fq.gz	A. Resweber	163.50854708166497	Yes
Bueno-Sancho et al., 2017	14.0079	14_0079	2014/06/17	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	Böhl Bauch 10	Germany	Unknown	Unknown	raw_reads/14_0079/R1.fq.gz	raw_reads/14_0079/R2.fq.gz	A. Resweber	279.0812280880321	Yes
Bueno-Sancho et al., 2017	14.0080	14_0080	2014/06/17	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Victo	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Victo	Infected Leaf	Unknown	Yellow Rust	Ruchheim	Germany	Unknown	Unknown	raw_reads/14_0080/R1.fq.gz	raw_reads/14_0080/R2.fq.gz	A. Resweber	319.2814941418866	Yes
Bueno-Sancho et al., 2017	14.0081	14_0081	2014/05/13	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	JB Asano	Infected Leaf	Unknown	Yellow Rust	Gommershoven	Germany	Unknown	Unknown	raw_reads/14_0081/R1.fq.gz	raw_reads/14_0081/R2.fq.gz	Prochnow	120.920528366392	Yes
Bueno-Sancho et al., 2017	14.0084	14_0084	2014/05/28	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Kometus	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Kometus	Infected Leaf	Unknown	Yellow Rust	Groitzsch	Germany	Unknown	Unknown	raw_reads/14_0084/R1.fq.gz	raw_reads/14_0084/R2.fq.gz	Prochnow	38.123111691590815	Yes
Bueno-Sancho et al., 2017	14.0085	14_0085	2014/06/03	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Akteur	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Akteur	Infected Leaf	Unknown	Yellow Rust	Groitzsch	Germany	Unknown	Unknown	raw_reads/14_0085/R1.fq.gz	raw_reads/14_0085/R2.fq.gz	Prochnow	150.18966096578117	Yes
Bueno-Sancho et al., 2017	14.0086	14_0086	2014/06/03	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Ritmo	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Ritmo	Infected Leaf	Unknown	Yellow Rust	Weißensee	Germany	Unknown	Unknown	raw_reads/14_0086/R1.fq.gz	raw_reads/14_0086/R2.fq.gz	Prochnow	198.18611813129556	Yes
Bueno-Sancho et al., 2017	14.0087	14_0087	2014/06/03	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	JB Asano	Infected Leaf	Unknown	Yellow Rust	Weißensee	Germany	Unknown	Unknown	raw_reads/14_0087/R1.fq.gz	raw_reads/14_0087/R2.fq.gz	Prochnow	282.65635308565095	Yes
Bueno-Sancho et al., 2017	14.0088	14_0088	2014/06/03	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Akteur	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Akteur	Infected Leaf	Unknown	Yellow Rust	Weißensee	Germany	Unknown	Unknown	raw_reads/14_0088/R1.fq.gz	raw_reads/14_0088/R2.fq.gz	Prochnow	196.2834130020516	Yes
Bueno-Sancho et al., 2017	14.0089	14_0089	2014/06/04	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Kometus	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Kometus	Infected Leaf	Unknown	Yellow Rust	Tachenhausen	Germany	Unknown	Unknown	raw_reads/14_0089/R1.fq.gz	raw_reads/14_0089/R2.fq.gz	Prochnow	176.62402207978118	Yes
Bueno-Sancho et al., 2017	14.0090	14_0090	2014/06/05	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Hermann	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Hermann	Infected Leaf	Unknown	Yellow Rust	Hüttendorf	Germany	Unknown	Unknown	raw_reads/14_0090/R1.fq.gz	raw_reads/14_0090/R2.fq.gz	Prochnow	77.04009965121605	Yes
Bueno-Sancho et al., 2017	14.0091	14_0091	2014/06/05	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Kometus	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Kometus	Infected Leaf	Unknown	Yellow Rust	Hüttendorf	Germany	Unknown	Unknown	raw_reads/14_0091/R1.fq.gz	raw_reads/14_0091/R2.fq.gz	Prochnow	262.15428687409945	Yes
Bueno-Sancho et al., 2017	14.0092	14_0092	2014/05/26	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	Vígľaš-Pstruša	Slovakia	Unknown	Unknown	raw_reads/14_0092/R1.fq.gz	raw_reads/14_0092/R2.fq.gz	Andrea Hanková	274.7308344483816	Yes
Bueno-Sancho et al., 2017	14.0093	14_0093	2014/05/26	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	Vígľaš-Pstruša	Slovakia	Unknown	Unknown	raw_reads/14_0093/R1.fq.gz	raw_reads/14_0093/R2.fq.gz	Andrea Hanková	294.50285436326305	Yes
Bueno-Sancho et al., 2017	14.0094	14_0094	2014/06/03	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Rosario	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Rosario	Infected Leaf	Unknown	Yellow Rust	Nangis	France	Unknown	Unknown	raw_reads/14_0094/R1.fq.gz	raw_reads/14_0094/R2.fq.gz	Bazelaine	172.6649503499125	Yes
Bueno-Sancho et al., 2017	14.0095	14_0095	2014/06/02	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	JB Asano	Infected Leaf	Unknown	Yellow Rust	Koksijde	Belgium	Unknown	Unknown	raw_reads/14_0095/R1.fq.gz	raw_reads/14_0095/R2.fq.gz	Yves Decroos	117.770170791701	Yes
Bueno-Sancho et al., 2017	14.0096	14_0096	2014/06/02	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	JB Asano	Infected Leaf	Unknown	Yellow Rust	Zwevegem	Belgium	Unknown	Unknown	raw_reads/14_0096/R1.fq.gz	raw_reads/14_0096/R2.fq.gz	Yves Decroos	187.0231755657485	Yes
Bueno-Sancho et al., 2017	14.0097	14_0097	2014/06/02	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	JB Asano	Infected Leaf	Unknown	Yellow Rust	Avelgem	Belgium	Unknown	Unknown	raw_reads/14_0097/R1.fq.gz	raw_reads/14_0097/R2.fq.gz	Yves Decroos	344.17015708846446	Yes
Bueno-Sancho et al., 2017	14.0098	14_0098	2014/06/02	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Torch	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Torch	Infected Leaf	Unknown	Yellow Rust	Mignault	Belgium	Unknown	Unknown	raw_reads/14_0098/R1.fq.gz	raw_reads/14_0098/R2.fq.gz	Yves Decroos	300.7458989612435	Yes
Bueno-Sancho et al., 2017	14.0099	14_0099	2014/05/24	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	Unknown	Romania	Unknown	Unknown	raw_reads/14_0099/R1.fq.gz	raw_reads/14_0099/R2.fq.gz	Dario	184.20047481269557	Yes
Bueno-Sancho et al., 2017	14.0101	14_0101	2014/05/24	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	Unknown	Turkey	Unknown	Unknown	raw_reads/14_0101/R1.fq.gz	raw_reads/14_0101/R2.fq.gz	Dario	133.77942751250347	Yes
Bueno-Sancho et al., 2017	14.0103	14_0103	2014/05/24	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Unknown	Unknown	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Unknown	Infected Leaf	Unknown	Yellow Rust	Unknown	Serbia	Unknown	Unknown	raw_reads/14_0103/R1.fq.gz	raw_reads/14_0103/R2.fq.gz	Dario	331.4543838146076	Yes
Bueno-Sancho et al., 2017	14.0105	14_0105	2014/06/13	Puccinia Striiformis f. sp. Tritici	Bueno-Sancho et al., 2017	Bueno-Sancho et al., 2017	Triticum aestivum	Kranich	Infected Leaf	Unknown	Yellow Rust	https://doi.org/10.1093/gbe/evx241	Kranich	Infected Leaf	Unknown	Yellow Rust	Morley (Norfolk)	UK	Unknown	Unknown	raw_reads/14_0105/R1.fq.gz	raw_reads/14_0105/R2.fq.gz	James Brown	247.77532797864632	Yes
